Date,High,Low,Precip
Sun 7/3,21,10,2 MM
Mon 7/4,21,11,0 MM
Tue 7/5,20,11,4 MM
Wed 7/6,18,12,11 MM
Thu 7/7,20,12,2 MM
Fri 7/8,22,14,6 MM
Sat 7/9,21,14,1 MM
Sun 7/10,21,15,4 MM
Mon 7/11,23,16,1 MM
Tue 7/12,22,14,4 MM
Wed 7/13,21,12,0 MM
Thu 7/14,20,10,0 MM
Fri 7/15,20,14,0 MM
Sat 7/16,19,12,0 MM
Sun 7/17,19,12,0 MM
Mon 7/18,20,13,2 MM
Tue 7/19,21,14,1 MM
Wed 7/20,23,16,0 MM
Thu 7/21,24,17,0 MM
Fri 7/22,26,16,0 MM
Sat 7/23,25,16,0 MM
Sun 7/24,25,18,0 MM
Mon 7/25,23,18,1 MM
Tue 7/26,24,15,4 MM
Wed 7/27,22,14,0 MM
Thu 7/28,22,16,0 MM
Fri 7/29,22,15,4 MM
Sat 7/30,22,14,7 MM
Sun 7/31,20,12,1 MM
Mon 8/1,20,12,3 MM
Tue 8/2,19,13,1 MM
Wed 8/3,19,11,6 MM
Thu 8/4,23,16,5 MM
Fri 8/5,23,15,1 MM
Sat 8/6,20,13,0 MM
Sun 8/7,21,12,0 MM
Mon 8/8,22,13,3 MM
Tue 8/9,18,11,0 MM
Wed 8/10,18,9,0 MM
Thu 8/11,18,8,0 MM
Fri 8/12,20,10,1 MM
Sat 8/13,20,15,2 MM
Sun 8/14,22,13,1 MM
Mon 8/15,21,10,0 MM
Tue 8/16,19,10,1 MM
Wed 8/17,23,10,1 MM
Thu 8/18,19,13,4 MM
Fri 8/19,20,11,0 MM
Sat 8/20,23,15,0 MM
Sun 8/21,23,14,0 MM
Mon 8/22,23,14,7 MM
Tue 8/23,22,14,1 MM
Wed 8/24,22,12,0 MM
Thu 8/25,24,18,0 MM
Fri 8/26,28,18,0 MM
Sat 8/27,22,13,0 MM
Sun 8/28,23,15,6 MM
Mon 8/29,19,14,0 MM
Tue 8/30,21,11,0 MM
Wed 8/31,21,12,0 MM
Thu 9/1,22,13,1 MM
Fri 9/2,20,12,1 MM
Sat 9/3,22,14,1 MM
Sun 9/4,16,13,13 MM
Mon 9/5,21,13,1 MM
Tue 9/6,20,9,0 MM
Wed 9/7,22,15,0 MM
Thu 9/8,24,14,0 MM
Fri 9/9,22,14,0 MM
Sat 9/10,22,11,0 MM
Sun 9/11,25,14,0 MM
Mon 9/12,22,14,0 MM
Tue 9/13,25,16,0 MM
Wed 9/14,25,14,0 MM
Thu 9/15,24,15,0 MM
Fri 9/16,23,16,0 MM
Sat 9/17,20,14,0 MM
Sun 9/18,18,12,0 MM
Mon 9/19,18,13,0 MM
Tue 9/20,20,11,0 MM
Wed 9/21,19,12,0 MM
Thu 9/22,18,12,0 MM
Fri 9/23,21,11,0 MM
Sat 9/24,20,9,0 MM
Sun 9/25,20,12,0 MM
Mon 9/26,19,15,0 MM
Tue 9/27,19,11,1 MM
Wed 9/28,20,13,0 MM
Thu 9/29,19,14,1 MM
Fri 9/30,18,12,3 MM
